week_start,production
2020-01-05,488.018117264011
2020-01-12,458.1221899250024
2020-01-19,655.3330235832218
2020-01-26,641.8152076156622
2020-02-02,452.7242751776811
2020-02-09,548.1943337011862
2020-02-16,557.4958171539321
2020-02-23,586.1485790984194
2020-03-01,636.9604448275617
2020-03-08,496.9294873990441
2020-03-15,499.6159087242276
2020-03-22,549.9414411904393
2020-03-29,501.8210983057264
2020-04-05,464.29316107447636
2020-04-12,588.6379967612554
2020-04-19,642.8771953578346
2020-04-26,598.9766307230674
2020-05-03,631.2022629574901
2020-05-10,624.0503101977126
2020-05-17,548.6507187304016
2020-05-24,603.4010772189528
2020-05-31,523.7419675480495
2020-06-07,574.4044669257398
2020-06-14,602.5226592225966
2020-06-21,599.9423666855964
2020-06-28,535.4532561594715
2020-07-05,595.5502256897223
2020-07-12,664.5479814828948
2020-07-19,691.3696717651651
2020-07-26,639.6516253255052
2020-08-02,637.1486660373389
2020-08-09,696.5638000001461
2020-08-16,611.3966942986368
2020-08-23,736.3514783052059
2020-08-30,582.7363647675126
2020-09-06,702.4248165744397
2020-09-13,676.9583922076529
2020-09-20,770.5060261197596
2020-09-27,593.9415339808946
2020-10-04,583.2988570699515
2020-10-11,762.4723183647695
2020-10-18,626.4333246340108
2020-10-25,730.7888246069044
2020-11-01,759.1075540313628
2020-11-08,718.9880382358876
2020-11-15,711.6090443251096
2020-11-22,720.0470017403472
2020-11-29,741.8710946685673
2020-12-06,729.3534242381509
2020-12-13,639.1708096604423
2020-12-20,791.2499860924592
2020-12-27,702.5554017438451
2021-01-03,575.9170793239753
2021-01-10,585.5494508763431
2021-01-17,607.7963900940642
2021-01-24,602.6053411237318
2021-01-31,556.5868413223745
2021-02-07,553.3733242292395
2021-02-14,570.4305491484448
2021-02-21,605.0030502976733
2021-02-28,494.3689157583558
2021-03-07,582.204771112098
2021-03-14,505.6838697502001
2021-03-21,642.5606762500735
2021-03-28,568.3657083992239
2021-04-04,579.1986212674566
2021-04-11,621.4358300834448
2021-04-18,600.4600828843227
2021-04-25,
2021-05-02,509.53873717961244
2021-05-09,548.7903498411142
2021-05-16,592.9773450258742
2021-05-23,515.5822930159799
2021-05-30,570.641185132119
2021-06-06,575.0062618606487
2021-06-13,561.0278686631034
2021-06-20,638.617740683232
2021-06-27,555.9915340700932
2021-07-04,654.4204406038282
2021-07-11,632.3418020504712
2021-07-18,644.0601368433933
2021-07-25,
2021-08-01,658.9843175916587
2021-08-08,668.6516445763144
2021-08-15,611.7291456393466
2021-08-22,681.3074838647818
2021-08-29,679.1984953423918
2021-09-05,674.3804333519356
2021-09-12,589.5411591058675
2021-09-19,620.7376391015953
2021-09-26,721.6790031784146
2021-10-03,665.6127767156365
2021-10-10,778.4994012877315
2021-10-17,672.6801711474797
2021-10-24,707.4108077026411
2021-10-31,690.6415382871269
2021-11-07,
2021-11-14,658.4795510215158
2021-11-21,664.7878496755133
2021-11-28,707.4032140724787
2021-12-05,
2021-12-12,704.1578326356998
2021-12-19,698.3310881727225
2021-12-26,760.5189027671148
2022-01-02,552.0669088483157
2022-01-09,522.8568197444326
2022-01-16,500.11294606816
2022-01-23,613.5223641829309
2022-01-30,533.5301244918849
2022-02-06,521.0713102813065
2022-02-13,516.7478388213638
2022-02-20,610.7095277743864
2022-02-27,521.3513003365888
2022-03-06,599.5231378837547
2022-03-13,538.4796044795265
2022-03-20,489.5809834486538
2022-03-27,533.3754153090049
2022-04-03,598.360343277603
2022-04-10,594.2414603614325
2022-04-17,593.0008148561933
2022-04-24,583.902752841409
2022-05-01,560.7495020148685
2022-05-08,600.5368781887097
2022-05-15,627.0474210363963
2022-05-22,526.8702119700145
2022-05-29,664.9531109026103
2022-06-05,415.16890471553313
2022-06-12,603.7624287383175
2022-06-19,623.3043467736712
2022-06-26,569.8323595052489
2022-07-03,543.7082614514709
2022-07-10,645.1637949953977
2022-07-17,658.4847962301717
2022-07-24,592.56406327119
2022-07-31,608.493329470977
2022-08-07,698.1356048031892
2022-08-14,
2022-08-21,574.566150536868
2022-08-28,672.4914958877565
2022-09-04,603.4740584010816
2022-09-11,611.2618783586677
2022-09-18,659.8828696340399
2022-09-25,655.2245013809568
2022-10-02,679.8696729420584
2022-10-09,674.7895312709073
2022-10-16,687.4600480637528
2022-10-23,660.9703253463683
2022-10-30,754.4506125888771
2022-11-06,621.5403150495767
2022-11-13,687.9560702713337
2022-11-20,627.0297463310726
2022-11-27,746.8000873639261
2022-12-04,687.8844833006513
2022-12-11,647.1665703559444
2022-12-18,734.2523813130842
2022-12-25,585.403466163053
