ProductID,Category,Price,StockQuantity,Rating,Description
1,Clothing,51.30570602357257,18.0,1,Not worth it???
2,Home,45.51488974301199,74.0,6,Good product!!!
3,Electronics,51.37641164803254,-4.0,0,Cheap and useful...
4,Clothing,20.186466280986608,122.0,0,Cheap and useful...
5,Clothing,46.70492168243732,154.0,5,Cheap and useful...
6,Home,55.3566885726762,78.0,6,Average item
7,Electronics,72.16841067112274,146.0,6,High quality -- recommended
8,Electronics,42.22594672589529,134.0,0,Average item
9,Clothing,37.87259595660218,172.0,4,High quality -- recommended
10,Books,42.47364434623195,157.0,5,Cheap and useful...
11,Clothing,63.731031765531114,118.0,5,Cheap and useful...
12,Clothing,54.93126664489527,27.0,2,Average item
13,Clothing,42.05359694349442,155.0,6,Average item
14,Clothing,57.699011496700344,183.0,0,High quality -- recommended
15,,51.456163240220604,173.0,2,Not worth it???
16,,64.52967485799334,165.0,3,High quality -- recommended
17,Home,39.469203591839715,95.0,1,Average item
18,Home,45.085067801033475,6.0,5,Excellent value!!!
19,Home,44.118377703017636,61.0,3,Average item
20,Clothing,28.04727577801822,59.0,3,Excellent value!!!
21,Books,54.44180415596864,155.0,4,Good product!!!
22,Electronics,53.91582908269834,162.0,1,Average item
23,,50.07670184963691,,3,Good product!!!
24,Home,46.481192999372794,37.0,3,Not worth it???
25,Home,28.769438869243785,38.0,1,High quality -- recommended
26,Books,43.69032015851961,23.0,1,Excellent value!!!
27,Books,44.85928225209846,135.0,3,High quality -- recommended
28,Books,37.96584096167572,6.0,1,Good product!!!
29,Home,47.580714325009865,89.0,3,Excellent value!!!
30,Home,56.060762852218076,40.0,3,High quality -- recommended
31,Electronics,78.29278851815795,124.0,4,Average item
32,Electronics,52.61866719247759,29.0,0,Cheap and useful...
33,Home,53.86325586084146,75.0,3,Good product!!!
34,Books,48.883311263507494,84.0,2,High quality -- recommended
35,Books,21.21843177051438,2.0,5,Good product!!!
36,Electronics,49.602291868261744,87.0,6,Good product!!!
37,Home,50.9034531491154,148.0,0,Excellent value!!!
38,Electronics,86.94863168727929,196.0,0,Excellent value!!!
39,Electronics,47.114585528283165,84.0,0,Cheap and useful...
40,Clothing,54.523210135004184,156.0,4,Average item
41,Clothing,49.47932345442135,109.0,3,Good product!!!
42,Clothing,32.46982943570702,99.0,4,High quality -- recommended
43,Books,67.14234221772531,129.0,3,Not worth it???
44,Home,61.27899549030161,190.0,4,Good product!!!
45,Home,61.865479205645705,52.0,4,Good product!!!
46,Home,36.35918817807892,108.0,5,Cheap and useful...
47,Home,71.04191466404149,69.0,2,Average item
48,Clothing,28.972234058115788,151.0,4,Not worth it???
49,Books,58.80285640700406,114.0,5,Excellent value!!!
50,Books,82.85683438714968,158.0,1,Excellent value!!!
51,Clothing,35.14195512303968,15.0,2,High quality -- recommended
52,Books,41.50553405595842,158.0,4,Not worth it???
53,Clothing,51.49477047631462,132.0,6,Excellent value!!!
54,Home,42.44786518825701,95.0,0,High quality -- recommended
55,Clothing,26.74004853400801,195.0,1,Average item
56,Home,51.02844462209041,146.0,1,High quality -- recommended
57,Home,34.06544429410843,186.0,5,Excellent value!!!
58,Electronics,57.10388645952772,171.0,1,Cheap and useful...
59,Clothing,,93.0,2,Cheap and useful...
60,Electronics,73.24901607526309,30.0,4,Cheap and useful...
61,Clothing,38.251200614956446,90.0,4,Excellent value!!!
62,Clothing,45.16907725691487,146.0,6,Cheap and useful...
63,Electronics,62.202758260545046,145.0,0,Not worth it???
64,Electronics,31.53703525349067,184.0,5,Average item
65,Clothing,53.41189901906194,31.0,0,High quality -- recommended
66,Books,69.60714131423643,6.0,1,High quality -- recommended
67,Home,25.88775148158159,107.0,6,Excellent value!!!
68,Electronics,52.769507877984566,177.0,0,Cheap and useful...
69,Home,53.89824191372635,,2,Cheap and useful...
70,Books,61.72734307665966,17.0,4,Good product!!!
71,Books,31.445739336828773,93.0,1,Average item
72,Books,30.193150803735854,99.0,6,Not worth it???
73,Electronics,57.829123484253465,24.0,0,High quality -- recommended
74,Books,54.45477009849779,11.0,5,Good product!!!
75,Electronics,53.75739275518815,107.0,2,Good product!!!
76,Books,55.19672314245464,56.0,2,Excellent value!!!
77,Home,39.79962917632264,78.0,0,High quality -- recommended
78,Home,53.48380545741505,106.0,4,Excellent value!!!
79,Clothing,54.39608709948022,80.0,0,Not worth it???
80,Home,39.28472872960448,,1,Good product!!!
81,Clothing,77.98661766717134,181.0,0,Good product!!!
